"sti","sex","admin","iso_a2","iso_a3","n"
"Gonorrhoea","Male","Ethiopia","ET","ETH",1
"Gonorrhoea","Male","Gabon","GA","GAB",0
"Gonorrhoea","Male","Ghana","GH","GHA",0
"Gonorrhoea","Male","Guinea","GN","GIN",0
"Gonorrhoea","Male","Guinea-Bissau","GW","GNB",1
"Gonorrhoea","Male","Kenya","KE","KEN",4
"Gonorrhoea","Male","Lesotho","LS","LSO",0
"Gonorrhoea","Male","Liberia","LR","LBR",0
"Gonorrhoea","Male","Libya","LY","LBY",NA
"Gonorrhoea","Male","Madagascar","MG","MDG",0
"Gonorrhoea","Male","Malawi","MW","MWI",1
"Gonorrhoea","Male","Mali","ML","MLI",0
"Gonorrhoea","Male","Mauritania","MR","MRT",0
"Gonorrhoea","Male","Morocco","MA","MAR",NA
"Gonorrhoea","Male","Mozambique","MZ","MOZ",0
"Gonorrhoea","Male","Namibia","NA","NAM",0
"Gonorrhoea","Male","Niger","NE","NER",0
"Gonorrhoea","Male","Nigeria","NG","NGA",0
"Gonorrhoea","Male","Rwanda","RW","RWA",1
"Gonorrhoea","Male","Senegal","SN","SEN",0
"Gonorrhoea","Male","Sierra Leone","SL","SLE",0
"Gonorrhoea","Male","Somalia","SO","SOM",0
"Gonorrhoea","Male","Somaliland","-99","-99",0
"Gonorrhoea","Male","South Africa","ZA","ZAF",13
"Gonorrhoea","Male","South Sudan","SS","SSD",0
"Gonorrhoea","Male","Sudan","SD","SDN",0
"Gonorrhoea","Male","Tanzania","TZ","TZA",5
"Gonorrhoea","Male","The Gambia","GM","GMB",0
"Gonorrhoea","Male","Togo","TG","TGO",0
"Gonorrhoea","Male","Tunisia","TN","TUN",NA
"Gonorrhoea","Male","Uganda","UG","UGA",4
"Gonorrhoea","Male","Western Sahara","EH","ESH",NA
"Gonorrhoea","Male","Zambia","ZM","ZMB",1
"Gonorrhoea","Male","Zimbabwe","ZW","ZWE",3
"Trichomoniasis","Female","Algeria","DZ","DZA",NA
"Trichomoniasis","Female","Angola","AO","AGO",0
"Trichomoniasis","Female","Benin","BJ","BEN",0
"Trichomoniasis","Female","Botswana","BW","BWA",6
"Trichomoniasis","Female","Burkina Faso","BF","BFA",3
"Trichomoniasis","Female","Burundi","BI","BDI",0
"Trichomoniasis","Female","Cameroon","CM","CMR",4
"Trichomoniasis","Female","Central African Republic","CF","CAF",0
"Trichomoniasis","Female","Chad","TD","TCD",2
"Trichomoniasis","Female","Congo","CG","COG",0
"Trichomoniasis","Female","Côte d'Ivoire","CI","CIV",0
"Trichomoniasis","Female","Democratic Republic of Congo","CD","COD",1
"Trichomoniasis","Female","Djibouti","DJ","DJI",NA
"Trichomoniasis","Female","Egypt","EG","EGY",NA
"Trichomoniasis","Female","Equatorial Guinea","GQ","GNQ",0
"Trichomoniasis","Female","Eritrea","ER","ERI",0
"Trichomoniasis","Female","Eswatini","SZ","SWZ",3
"Trichomoniasis","Female","Ethiopia","ET","ETH",6
"Trichomoniasis","Female","Gabon","GA","GAB",0
"Trichomoniasis","Female","Ghana","GH","GHA",4
"Trichomoniasis","Female","Guinea","GN","GIN",0
"Trichomoniasis","Female","Guinea-Bissau","GW","GNB",1
"Trichomoniasis","Female","Kenya","KE","KEN",16
"Trichomoniasis","Female","Lesotho","LS","LSO",0
"Trichomoniasis","Female","Liberia","LR","LBR",0
