"sti","sex","region","year","prev","lwr","upr"
"CT","Female","Eastern",2000,0.00975661341684742,0.00547851235053486,0.0173754295464011
"CT","Female","Eastern",2001,0.0110458761668127,0.00639616147977821,0.0190757191916287
"CT","Female","Eastern",2002,0.0125055052485605,0.00746468106783464,0.0209503473893413
"CT","Female","Eastern",2003,0.0141580132856858,0.00870777573988233,0.0230195799921192
"CT","Female","Eastern",2004,0.0160288877749046,0.0101524031172995,0.0253068401965531
"CT","Female","Eastern",2005,0.0181469841930607,0.0118289945806751,0.0278394780771301
"CT","Female","Eastern",2006,0.0205449710502547,0.0137715638186195,0.0306498115257701
"CT","Female","Eastern",2007,0.0232598337533798,0.0160176174892646,0.0337765505136748
"CT","Female","Eastern",2008,0.0263334450514186,0.0186077446108197,0.0372667586953482
"CT","Female","Eastern",2009,0.0298132108607749,0.0215847204844077,0.0411785523222824
"CT","Female","Eastern",2010,0.0337528014315447,0.0249919367444281,0.0455847666440369
"CT","Female","Eastern",2011,0.0382129791318853,0.0288710102388396,0.0505777858846616
"CT","Female","Eastern",2012,0.0432625356178346,0.0332586216204068,0.0562755429087297
"CT","Female","Eastern",2013,0.0489793528430419,0.0381831032219024,0.0628282355936725
"CT","Female","Eastern",2014,0.0554516042729183,0.0436620344839792,0.0704245794494205
"CT","Female","Eastern",2015,0.0627791148301616,0.049702709872897,0.0792958224800489
"CT","Female","Eastern",2016,0.071074900546808,0.056306898313346,0.0897162095419717
"CT","Female","Eastern",2017,0.0804669116696693,0.0634792029463134,0.102000711620945
"CT","Female","Eastern",2018,0.0911000061039854,0.071235781754661,0.116503404717716
"CT","Female","Eastern",2019,0.103138183632745,0.0796097960592793,0.133620301139081
"CT","Female","Eastern",2020,0.116767115371207,0.0886523350086517,0.153798083612599
"CT","Female","Eastern",2021,0.132197007469734,0.0984302498749688,0.177547540579771
"CT","Female","Eastern",2022,0.149665843233311,0.109023134481204,0.205459737855912
"CT","Female","Eastern",2023,0.169443053662666,0.12052091820981,0.238223777755719
"CT","Female","Southern",2000,0.0561313258978292,0.031655524673469,0.0995316229804584
"CT","Female","Southern",2001,0.0595391550200793,0.034596922622116,0.102463187816565
"CT","Female","Southern",2002,0.0631538792965183,0.0377971694619574,0.105521459066227
"CT","Female","Southern",2003,0.0669880596870098,0.0412747586787317,0.108720202958877
"CT","Female","Southern",2004,0.0710550197488466,0.0450480131713942,0.11207632648081
"CT","Female","Southern",2005,0.0753688919353495,0.0491344058975186,0.115610838633327
"CT","Female","Southern",2006,0.079944666705333,0.0535495785838572,0.119350140629369
"CT","Female","Southern",2007,0.0847982446140912,0.0583059547275616,0.123327751397442
"CT","Female","Southern",2008,0.0899464915669173,0.0634108283691768,0.127586589755546
"CT","Female","Southern",2009,0.0954072974271583,0.0688638217565873,0.132181923253243
"CT","Female","Southern",2010,0.101199638182466,0.074653684143835,0.137185014855128
"CT","Female","Southern",2011,0.107343641885267,0.0807546222740005,0.14268728066235
"CT","Female","Southern",2012,0.113860658596592,0.0871228016482564,0.148804323676259
"CT","Female","Southern",2013,0.120773334576317,0.093694364758379,0.155678501928032
"CT","Female","Southern",2014,0.128105690977617,0.100387029400206,0.163477972790966
"CT","Female","Southern",2015,0.135883207319101,0.107107279588477,0.172390206363828
"CT","Female","Southern",2016,0.144132910024675,0.113763295403326,0.182609827524156
"CT","Female","Southern",2017,0.152883466338823,0.120280184393143,0.194324230526425
"CT","Female","Southern",2018,0.162165283943636,0.126611407218503,0.207703080585278
"CT","Female","Southern",2019,0.172010616623769,0.132741745889565,0.222896361901891
"CT","Female","Southern",2020,0.182453676346492,0.138682063533001,0.240040731759294
"CT","Female","Southern",2021,0.193530752146322,0.144460010588851,0.259270035172014
"CT","Female","Southern",2022,0.205280336227333,0.150111043793414,0.280725624022712
"CT","Female","Southern",2023,0.217743257721369,0.155672002489575,0.304564247423295
"CT","Female","Western and Central",2000,0.0251197733615158,0.0067483648140905,0.0935045794229137
"CT","Female","Western and Central",2001,0.0258328864692581,0.00747286761587061,0.089301464663486
"CT","Female","Western and Central",2002,0.02656624380043,0.00827141953604694,0.0853257783126771
"CT","Female","Western and Central",2003,0.0273204200585083,0.00915034163031813,0.0815713098295975
"CT","Female","Western and Central",2004,0.0280960062619489,0.0101159944225555,0.0780334127222719
"CT","Female","Western and Central",2005,0.0288936102073451,0.0111745111840801,0.0747093718070968
"CT","Female","Western and Central",2006,0.0297138569457341,0.0123313732610465,0.0715989432726508
"CT","Female","Western and Central",2007,0.0305573892724247,0.0135907421945534,0.0687051542719064
"CT","Female","Western and Central",2008,0.0314248682307314,0.0149544171869926,0.0660354951296787
"CT","Female","Western and Central",2009,0.0323169736300078,0.0164202194399612,0.0636037044706563
"CT","Female","Western and Central",2010,0.0332344045783867,0.017979519902843,0.0614324327706458
"CT","Female","Western and Central",2011,0.034177880030644,0.0196135600662782,0.0595571369726737
"CT","Female","Western and Central",2012,0.0351481393516152,0.0212883071086621,0.0580314673954457
"CT","Female","Western and Central",2013,0.0361459428956068,0.0229482328304561,0.0569337603233001
"CT","Female","Western and Central",2014,0.0371720726022566,0.0245114022216477,0.0563722535762194
"CT","Female","Western and Central",2015,0.0382273326093085,0.0258721098924706,0.0564827903289009
"CT","Female","Western and Central",2016,0.0393125498827845,0.0269199094714261,0.0574101699683223
"CT","Female","Western and Central",2017,0.0404285748650454,0.0275753644926315,0.0592728217991584
"CT","Female","Western and Central",2018,0.0415762821412493,0.0278211096438487,0.0621322175433413
"CT","Female","Western and Central",2019,0.0427565711247294,0.0277014607900803,0.0659937895765655
"CT","Female","Western and Central",2020,0.0439703667618298,0.0272939346223359,0.0708360000096005
"CT","Female","Western and Central",2021,0.0452186202567491,0.0266792369409025,0.0766410082287352
"CT","Female","Western and Central",2022,0.0465023098169626,0.0259253032626431,0.0834113605694543
"CT","Female","Western and Central",2023,0.0478224414198046,0.0250836176037371,0.0911744844575337
"CT","Male","Eastern",2000,0.00463771138600173,0.00256409239618483,0.00838829635462937
"CT","Male","Eastern",2001,0.00525054990686977,0.00299104234882896,0.00921694550240102
"CT","Male","Eastern",2002,0.00594437040815887,0.00348746603763168,0.0101321530211635
"CT","Male","Eastern",2003,0.00672987404674741,0.00406406515730816,0.0111443106672736
"CT","Male","Eastern",2004,0.00761917605654595,0.00473294521063477,0.0122654797799481
"CT","Male","Eastern",2005,0.00862599260809344,0.00550769082297816,0.0135097903761142
"CT","Male","Eastern",2006,0.00976585236023729,0.00640338879614538,0.0148939687028473
"CT","Male","Eastern",2007,0.0110563359667696,0.00743656658921313,0.0164380381112163
"CT","Male","Eastern",2008,0.0125173472320559,0.00862500417840989,0.0181662499503559
"CT","Male","Eastern",2009,0.0141714200978317,0.009987370665058,0.0201083102174082
"CT","Male","Eastern",2010,0.0160440661959845,0.0115426418418028,0.0223009657259648
"CT","Male","Eastern",2011,0.0181641683278105,0.0133092859663338,0.0247899858696867
"CT","Male","Eastern",2012,0.0205644259385823,0.0153042817054562,0.0276325032642771
"CT","Male","Eastern",2013,0.0232818594582145,0.0175421653221904,0.0308995480248028
"CT","Male","Eastern",2014,0.0263583812867388,0.0200344630627142,0.0346784569110871
"CT","Male","Eastern",2015,0.0298414422311946,0.0227899412934402,0.0390747682484838
"CT","Male","Eastern",2016,0.033784763364272,0.0258159437463889,0.0442133840541668
"CT","Male","Eastern",2017,0.0382491645925441,0.0291206365548587,0.0502392380493286
"CT","Male","Eastern",2018,0.0433035027137314,0.0327154908244906,0.0573182092036469
"CT","Male","Eastern",2019,0.0490257334311472,0.0366172040565383,0.065639160618347
"CT","Male","Eastern",2020,0.0555041137053276,0.0408486246472367,0.075417634371255
"CT","Male","Eastern",2021,0.062838562987345,0.0454387779052401,0.0869012147850737
"CT","Male","Eastern",2022,0.071142204328821,0.0504224025014084,0.100376280892652
"CT","Male","Eastern",2023,0.0805431091379825,0.0558394006653286,0.11617589645157
"CT","Male","Southern",2000,0.0349254037792409,0.0195012692809437,0.0625489454850493
"CT","Male","Southern",2001,0.0370457849781793,0.0213023125125829,0.0644244695893391
"CT","Male","Southern",2002,0.0392948981584923,0.0232596198838249,0.0663849636837815
"CT","Male","Southern",2003,0.0416805588596863,0.0253838515967333,0.0684399284417243
"CT","Male","Southern",2004,0.0442110571160831,0.0276854235872923,0.0706009631804492
"CT","Male","Southern",2005,0.046895186264215,0.0301740812649765,0.0728823679979947
"CT","Male","Southern",2006,0.0497422734991651,0.0328583039855768,0.0753019320154757
"CT","Male","Southern",2007,0.0527622122860366,0.0357444928297409,0.0778819567695898
"CT","Male","Southern",2008,0.0559654967391775,0.038835895491403,0.0806505627237627
"CT","Male","Southern",2009,0.0593632580886264,0.0421312419293111,0.0836433071877994
"CT","Male","Southern",2010,0.0629673033605,0.0456231224190947,0.086905084138516
"CT","Male","Southern",2011,0.0667901564057328,0.0492962631232845,0.0904921531586678
"CT","Male","Southern",2012,0.0708451014197414,0.0531260655881892,0.0944739336445285
"CT","Male","Southern",2013,0.0751462291042434,0.0570780524374901,0.0989339248176309
"CT","Male","Southern",2014,0.0797084856316386,0.061109061991576,0.103968911886832
"CT","Male","Southern",2015,0.0845477245821024,0.0651708653229138,0.109685788221347
"CT","Male","Southern",2016,0.0896807620338689,0.06921605733686,0.116196145640506
"CT","Male","Southern",2017,0.0951254349981401,0.0732047752981375,0.123610083450602
"CT","Male","Southern",2018,0.100900663401678,0.0771099277178961,0.132031557754084
"CT","Male","Southern",2019,0.107026515832466,0.080919119656226,0.141557089843547
"CT","Male","Southern",2020,0.113524279276906,0.0846331243138365,0.152277989142295
"CT","Male","Southern",2021,0.120416533090872,0.0882622498780463,0.164284747575098
"CT","Male","Southern",2022,0.127727227461684,0.0918223104942357,0.177671902909401
"CT","Male","Southern",2023,0.135481766633633,0.0953313337871546,0.192542245670789
"CT","Male","Western and Central",2000,0.0165716033807583,0.0040604944611712,0.0676316742296334
"CT","Male","Western and Central",2001,0.0170420466215094,0.00446313943197847,0.0650733317827258
"CT","Male","Western and Central",2002,0.0175258450480976,0.00489966604227862,0.0626890163532621
"CT","Male","Western and Central",2003,0.0180233777944402,0.00537118742642427,0.0604786467742711
"CT","Male","Western and Central",2004,0.0185350347575041,0.00587825040366922,0.0584438378547875
"CT","Male","Western and Central",2005,0.0190612169028527,0.00642059457832075,0.0565882155282608
"CT","Male","Western and Central",2006,0.0196023365788672,0.00699684921919004,0.0549178047595083
"CT","Male","Western and Central",2007,0.0201588178398877,0.00760416493759939,0.0534414942385598
"CT","Male","Western and Central",2008,0.020731096778528,0.00823778869457904,0.0521715704996796
"CT","Male","Western and Central",2009,0.0213196218674243,0.00889061258168091,0.0511242923245252
"CT","Male","Western and Central",2010,0.0219248543106859,0.00955276291931696,0.0503204403380268
"CT","Male","Western and Central",2011,0.0225472684053227,0.0102113466921146,0.0497857263953483
"CT","Male","Western and Central",2012,0.0231873519129332,0.0108505266805795,0.0495508932019408
"CT","Male","Western and Central",2013,0.023845606441944,0.0114521244393639,0.0496513070212208
"CT","Male","Western and Central",2014,0.0245225478407014,0.0119968995018774,0.0501258973208356
"CT","Male","Western and Central",2015,0.0252187066017208,0.0124664752816733,0.0510154753684565
"CT","Male","Western and Central",2016,0.0259346282774133,0.0128455934811504,0.0523607527261847
"CT","Male","Western and Central",2017,0.026670873907614,0.0131241155020128,0.0542006442176425
"CT","Male","Western and Central",2018,0.0274280204592464,0.0132981565717688,0.0565714730649147
"CT","Male","Western and Central",2019,0.0282066612784696,0.0133700290485865,0.0595074055252278
"CT","Male","Western and Central",2020,0.0290074065556598,0.0133471315538683,0.0630419825929918
"CT","Male","Western and Central",2021,0.0298308838035931,0.0132402615057313,0.0672102758784838
"CT","Male","Western and Central",2022,0.0306777383492025,0.0130618839743706,0.0720511399480162
"CT","Male","Western and Central",2023,0.0315486338392955,0.0128247198357103,0.0776092039339912
"NG","Female","Eastern",2000,0.0113689968780979,0.00541760738258856,0.0238581500810864
"NG","Female","Eastern",2001,0.0118986743098484,0.00589373390411959,0.0240218599337996
"NG","Female","Eastern",2002,0.0124530292205986,0.00640789069817251,0.0242010895743445
