"sti","sex","region","year","prev","lwr","upr"
"CT","Female","Eastern",2020,0.110326581118427,0.0831405956561107,0.146402060331957
"CT","Female","Southern",2020,0.176467365069137,0.133054719364784,0.234044542599563
"CT","Female","Western and Central",2020,0.0455941792109611,0.0281437162439295,0.0738647717985586
"CT","Male","Eastern",2020,0.0525045369295872,0.0383873898598635,0.0718133326661191
"CT","Male","Southern",2020,0.109793104836994,0.0812415817459607,0.148378768737432
"CT","Male","Western and Central",2020,0.03023187727451,0.0139560242941043,0.0654890235414061
"NG","Female","Eastern",2020,0.025433351736083,0.0165554048152681,0.0390721572652066
"NG","Female","Southern",2020,0.0351538373726623,0.0229152925961634,0.053928714932948
"NG","Female","Western and Central",2020,0.0139245443227279,0.00711390332874691,0.0272554919058433
"NG","Male","Eastern",2020,0.0138727530447518,0.00838618733240274,0.0229488406843792
"NG","Male","Southern",2020,0.0275138707966378,0.0171725660414273,0.0440827005345534
"NG","Male","Western and Central",2020,0.0120174465479415,0.00450618146939689,0.032049091345618
"TV","Female","Eastern",2020,0.087108004507772,0.0556601575523748,0.136323804728474
"TV","Female","Southern",2020,0.0770781065218673,0.0489056654746369,0.121479473744763
"TV","Female","Western and Central",2020,0.135777442603815,0.0882480194267578,0.208905696012055
"TV","Male","Eastern",2020,0.026437641887723,0.0154572401355111,0.0452182215231125
"TV","Male","Southern",2020,0.0107457387261252,0.00618933349883798,0.0186564354290855
"TV","Male","Western and Central",2020,0.00557078779497177,0.000727464381818193,0.0426600634096232
"CT","Female","SSA",2020,0.0812752308551023,0.0605420380754268,0.102008423634778
"CT","Male","SSA",2020,0.0447550991414298,0.0292038812706946,0.0603063170121651
"NG","Female","SSA",2020,0.0201308555321494,0.0124695654229985,0.0277921456413004
"NG","Male","SSA",2020,0.0138339065042301,0.00647370663800694,0.0211941063704533
"TV","Female","SSA",2020,0.111626729220901,0.0749574771598073,0.148295981281996
"TV","Male","SSA",2020,0.0144324845157186,0.00597746107516411,0.0228875079562732
